(Contribution||has||Model)
(Model||to retain||previous knowledge)
(previous knowledge||avoid||catastrophic forgetting)
(catastrophic forgetting||during||fine - tuning)
(catastrophic forgetting||propose||discriminative fine - tuning)
(catastrophic forgetting||propose||slanted triangular learning rates)
(catastrophic forgetting||propose||gradual unfreezing)
(Model||propose||Universal Language Model Fine - tuning)
(Universal Language Model Fine - tuning||that can be used to achieve||CV - like transfer learning)
(CV - like transfer learning||for||any task for NLP)
(Universal Language Model Fine - tuning||name||ULMFiT)
